,idframe,RMSD,state
311,311,7.565995536394611,inactive
312,312,8.248707320185042,inactive
313,313,7.9642745271600175,inactive
314,314,7.934380833309945,inactive
315,315,9.135903698427287,transition
316,316,8.83169594734081,transition
317,317,8.97541045464402,transition
318,318,8.567863695638428,transition
319,319,11.420975797060233,transition
320,320,10.198344828523524,transition
321,321,11.089340705095058,transition
322,322,11.42426446925907,transition
323,323,9.699572156906967,transition
324,324,9.949238793350991,transition
325,325,10.493702207292861,transition
326,326,10.216812539726527,transition
327,327,10.490909416193128,transition
328,328,11.108838430941244,transition
329,329,10.284210416347525,transition
330,330,11.100648694202794,transition
331,331,10.534604108969859,transition
332,332,8.96063672775607,transition
333,333,10.816255830157344,transition
334,334,10.579029506996047,transition
335,335,11.677117311071767,transition
336,336,11.149951317547226,transition
337,337,12.324194563376365,transition
338,338,12.111233155434213,transition
339,339,12.890161536203395,transition
340,340,13.324575142251339,transition
341,341,12.976956821854158,transition
342,342,11.414963046820674,transition
343,343,11.66737543575957,transition
344,344,11.833848912130943,transition
345,345,11.360558852315807,transition
346,346,13.063698104413728,transition
347,347,13.251893939126193,transition
348,348,14.060909283134677,active
349,349,14.389104060237282,active
350,350,13.52286279349123,transition
351,351,13.171296517986221,transition
352,352,11.947821465661606,transition
353,353,11.399944733722759,transition
354,354,11.11853332695203,transition
355,355,9.764613785701785,transition
356,356,8.797790103938205,transition
357,357,8.825827468989662,transition
358,358,8.55912433242169,transition
359,359,10.16262680153181,transition
360,360,9.815572353929234,transition
361,361,10.686078815785237,transition
362,362,12.148217453118734,transition
363,363,11.790683755160803,transition
364,364,10.678939066746954,transition
365,365,12.995515103353668,transition
366,366,11.46444112729699,transition
367,367,10.885014037218252,transition
368,368,10.406161210087534,transition
369,369,9.756730236827222,transition
370,370,10.556553696315838,transition
371,371,11.048845906754709,transition
372,372,8.73167801729635,transition
373,373,8.463597200238283,inactive
374,374,8.874980048821952,transition
375,375,8.832061993974847,transition
376,376,9.332759793274025,transition
377,377,9.43373116611054,transition
378,378,9.434942877671823,transition
379,379,10.489476437354508,transition
380,380,10.176122602936152,transition
381,381,11.137042308632335,transition
382,382,10.292322979190681,transition
383,383,9.489860429544404,transition
384,384,9.508625301710488,transition
385,385,9.64650933828345,transition
386,386,9.090296239275482,transition
387,387,9.05701922836976,transition
388,388,10.113015307363995,transition
389,389,9.713514954348927,transition
390,390,8.21299602319457,inactive
391,391,8.85295694698279,transition
392,392,9.943246215848113,transition
393,393,8.678259905576516,transition
394,394,10.916588394167297,transition
395,395,8.881617721096404,transition
396,396,9.813180647230709,transition
397,397,10.088147516731057,transition
398,398,10.200220127757957,transition
399,399,9.499117691698196,transition
400,400,16.68223109287399,active
401,401,9.642569977654963,transition
402,402,9.407166619389876,transition
403,403,8.980994071786894,transition
404,404,7.7355796176010365,inactive
405,405,9.300991924182465,transition
406,406,7.795799391411717,inactive
407,407,9.713580943454513,transition
408,408,8.836718121833625,transition
409,409,10.381406584620665,transition
410,410,10.301676391873029,transition
411,411,10.286762037868444,transition
412,412,9.245935784909676,transition
413,413,10.378352505907054,transition
414,414,10.913806386164609,transition
415,415,11.402712616900105,transition
416,416,11.060673407107734,transition
417,417,9.420971709920991,transition
418,418,10.17589215409718,transition
419,419,12.002296060247108,transition
420,420,10.68635204878812,transition
421,421,10.957298051708012,transition
422,422,11.950496055888955,transition
423,423,9.791841157517037,transition
424,424,10.218267036957544,transition
425,425,10.972164808908698,transition
426,426,9.479191294443307,transition
427,427,12.670585468716382,transition
428,428,10.726967107116446,transition
429,429,9.672133682413806,transition
430,430,16.232955128428415,active
431,431,16.477601338423476,active
432,432,11.955433756524647,transition
433,433,16.51403107783673,active
434,434,12.068954718583345,transition
435,435,18.50234558138948,active
436,436,17.52752066928651,active
437,437,18.335391704726597,active
438,438,18.553765143345,active
439,439,17.866735833697636,active
440,440,17.88915285357927,active
441,441,16.94981325875472,active
442,442,17.190564247366275,active
443,443,18.413860543499318,active
444,444,19.23226360643601,active
445,445,18.594874382815853,active
446,446,19.295854056255713,active
447,447,19.46946277646509,active
448,448,19.103159045306196,active
449,449,18.503312067779092,active
450,450,19.0844663787297,active
451,451,20.216905255747776,active
452,452,19.462914981688797,active
453,453,22.10604068326575,active
454,454,21.03312702406135,active
455,455,22.488797592294578,active
456,456,24.508560547580718,active
457,457,21.91958051901193,active
458,458,21.571822594623672,active
459,459,20.41917533436903,active
460,460,23.646750457704506,active
461,461,24.129026929624676,active
462,462,24.079693122689395,active
463,463,24.049780118382696,active
464,464,22.530741340816064,active
465,465,21.917928156161135,active
466,466,22.521322123083912,active
467,467,21.017793864764883,active
468,468,21.4266332101335,active
469,469,22.128514214964127,active
470,470,22.50454555076282,active
471,471,21.852544273868673,active
472,472,23.36785928885721,active
473,473,22.41014042907943,active
474,474,21.534068600986146,active
475,475,20.7939123614796,active
476,476,20.477245106531427,active
477,477,19.833597195587455,active
478,478,19.403907761851542,active
479,479,18.99962814099525,active
480,480,18.899206901572718,active
481,481,19.697381037273505,active
482,482,19.13768478125524,active
483,483,18.76863561286251,active
484,484,19.82368105011683,active
485,485,18.692461029714842,active
486,486,20.725231833901162,active
487,487,19.226384763394353,active
488,488,19.61024351552897,active
489,489,19.837914887322313,active
490,490,20.048216823305903,active
491,491,22.562541982827526,active
492,492,22.729702136247145,active
493,493,21.451330120429773,active
494,494,20.83543266886265,active
495,495,21.071586256305615,active
496,496,19.363794474811076,active
497,497,19.12468362212475,active
498,498,18.326865460705747,active
499,499,17.292416365900724,active
500,500,18.61524871414969,active
501,501,18.811646259057586,active
502,502,18.96053347722677,active
503,503,18.81121818387009,active
504,504,19.257326999693092,active
505,505,18.094711693915226,active
506,506,17.69550606418565,active
507,507,18.320253603109983,active
508,508,18.57841341350812,active
509,509,17.569140122418453,active
510,510,18.054898366410864,active
511,511,17.217065553310437,active
512,512,17.225945109661485,active
513,513,16.540745310410536,active
514,514,14.836806146934785,active
515,515,15.711423769935088,active
516,516,15.007812575647037,active
517,517,13.684726515071041,transition
518,518,14.389097865517396,active
519,519,15.030561737482085,active
520,520,14.241250304155185,active
521,521,15.038193759994662,active
522,522,16.073350997875835,active
523,523,16.188232830226333,active
524,524,16.983825655268685,active
525,525,18.01139795470914,active
526,526,16.91552052435052,active
527,527,17.530160502825602,active
528,528,18.709779862181964,active
529,529,19.775602669702586,active
530,530,21.515181337034015,active
531,531,21.20917926490738,active
532,532,22.279998490088836,active
533,533,21.178414049070998,active
534,534,22.05545781087703,active
535,535,22.060873163410907,active
536,536,21.254864800531696,active
537,537,21.620000243948596,active
538,538,24.988174064808813,active
539,539,22.716874174192498,active
540,540,22.363211340147256,active
541,541,22.80042809723157,active
542,542,23.481587262527253,active
543,543,22.558323628730363,active
544,544,20.709372093100786,active
545,545,20.42777204419201,active
546,546,21.864153368187537,active
547,547,20.50175417629334,active
548,548,22.055756202056912,active
549,549,21.085699350027486,active
550,550,22.185218587699612,active
551,551,20.931842278384455,active
552,552,20.81058142820507,active
553,553,22.79733493150829,active
554,554,24.1410757186159,active
555,555,23.82270627702398,active
556,556,22.28681809959504,active
557,557,25.453374560463978,active
558,558,23.86049008404343,active
559,559,25.434979017574104,active
560,560,23.999641881941688,active
561,561,23.382283098880517,active
562,562,22.40979883753497,active
563,563,23.89773994529545,active
564,564,24.651153794556613,active
565,565,22.502564777646203,active
566,566,21.678067863601548,active
567,567,23.51505912712079,active
568,568,24.667204759412733,active
569,569,26.316734052835084,active
570,570,26.6497799079105,active
571,571,22.159614326082856,active
572,572,22.279093586476023,active
573,573,22.439589515185343,active
574,574,22.113783674054414,active
575,575,22.413360677368104,active
576,576,24.520079925949556,active
577,577,22.884756411354417,active
578,578,23.20969560002423,active
579,579,25.127435351638788,active
580,580,24.432597843775426,active
581,581,23.496365137982313,active
582,582,26.83895619199993,active
583,583,24.234645690949975,active
584,584,24.300686433962547,active
585,585,24.799281379276923,active
586,586,27.223939011264868,active
587,587,27.416779439324056,active
588,588,4.591359874500382,inactive
589,589,4.621125068415256,inactive
590,590,4.866137826002558,inactive
591,591,27.017065264245485,active
592,592,6.1648450988554355,inactive
593,593,27.3903630102895,active
594,594,27.045705674709406,active
595,595,26.916718945008316,active
596,596,28.21468946603389,active
597,597,24.83636045473939,active
598,598,24.556653431442623,active
599,599,27.63851763780192,active
600,600,26.078555170830956,active
601,601,23.38489977176364,active
602,602,21.460011261692074,active
603,603,21.90546295946898,active
604,604,23.548863781832097,active
605,605,25.717184591041004,active
606,606,27.430434204490616,active
607,607,25.97412446692075,active
608,608,25.43979420984819,active
609,609,25.167316592591412,active
610,610,27.11523078747362,active
611,611,5.616992357250965,inactive
612,612,6.222780768673556,inactive
613,613,4.875390586266346,inactive
614,614,5.627151602853761,inactive
615,615,4.817579309863743,inactive
616,616,4.511478332312408,inactive
617,617,4.696222080476897,inactive
